freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
7.0000185E+006	2.6164703E+001	-8.8562225E+001
4.7356185E+006	2.5212111E+001	-9.9213493E+001
3.2037188E+006	3.7544437E+001	-1.2695622E+002
2.1673750E+006	6.4112381E+001	-1.6928419E+002
1.4662634E+006	1.1284948E+002	-2.1946371E+002
9.9195556E+005	1.8960449E+002	-2.5626077E+002
6.7106775E+005	2.8637482E+002	-2.7980136E+002
4.5398791E+005	3.7464804E+002	-2.7298624E+002
3.0713703E+005	4.6037637E+002	-2.3254359E+002
2.0778281E+005	5.3504858E+002	-1.7448132E+002
1.4056933E+005	5.6167010E+002	-1.4523703E+002
9.5095383E+004	5.7609808E+002	-1.3419983E+002
6.4337141E+004	5.9309167E+002	-1.4050063E+002
4.3525457E+004	6.1266089E+002	-1.5950395E+002
2.9440693E+004	6.3189325E+002	-1.9219601E+002
1.9920945E+004	6.2975616E+002	-1.9493059E+002
1.3472386E+004	7.0075977E+002	-3.0140961E+002
9.1205166E+003	7.4697467E+002	-3.9145883E+002
6.3004048E+003	8.0862592E+002	-4.9853152E+002
4.1713340E+003	8.9398798E+002	-6.5872339E+002
2.8222874E+003	9.9964923E+002	-8.6568152E+002
1.9093901E+003	1.1368745E+003	-1.1312413E+003
1.2920648E+003	1.3259504E+003	-1.4922932E+003
8.7416174E+002	1.6106375E+003	-1.9656030E+003
5.9132428E+002	1.9097867E+003	-2.5487334E+003
4.0012820E+002	2.3280303E+003	-3.3061826E+003
