freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
7.0000185E+006	2.7493380E+001	-8.6460396E+001
4.7356185E+006	2.4322403E+001	-9.6811707E+001
3.2037188E+006	3.7977947E+001	-1.2278087E+002
2.1673750E+006	6.5048027E+001	-1.5954744E+002
1.4662634E+006	1.1575302E+002	-1.9990150E+002
9.9195556E+005	1.8941629E+002	-2.3032584E+002
6.7106775E+005	2.7937991E+002	-2.3188371E+002
4.5398791E+005	3.5464243E+002	-2.0885120E+002
3.0713703E+005	4.1100998E+002	-1.6767909E+002
2.0778281E+005	4.4564783E+002	-1.2549698E+002
1.4056933E+005	4.6386920E+002	-9.5933426E+001
9.5095383E+004	4.7198627E+002	-7.3453110E+001
6.4337141E+004	4.7674490E+002	-6.6625900E+001
4.3525457E+004	4.8082916E+002	-6.4914146E+001
2.9440693E+004	4.8663193E+002	-6.5790810E+001
1.9920945E+004	4.5787445E+002	-6.4023987E+001
1.3472386E+004	4.9851175E+002	-1.1081024E+002
9.1205166E+003	5.0375558E+002	-1.5609564E+002
6.3004048E+003	5.1650879E+002	-2.1335214E+002
4.1713340E+003	5.3495526E+002	-3.0647159E+002
2.8222874E+003	5.5735724E+002	-4.3139667E+002
1.9093901E+003	5.9100446E+002	-6.0630261E+002
1.2920648E+003	6.4236346E+002	-8.5678741E+002
8.7416174E+002	7.1305170E+002	-1.2009415E+003
5.9132428E+002	8.0077789E+002	-1.6961970E+003
4.0012820E+002	9.2941229E+002	-2.4004578E+003
