freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
7.0000185E+006	2.2853508E+001	-9.2810242E+001
4.7356185E+006	2.1613220E+001	-1.0234682E+002
3.2037188E+006	3.4453583E+001	-1.2968683E+002
2.1673750E+006	5.9626545E+001	-1.7385985E+002
1.4662634E+006	1.0587632E+002	-2.3080023E+002
9.9195556E+005	1.7433157E+002	-2.8107281E+002
6.7106775E+005	2.9497009E+002	-3.1933270E+002
4.5398791E+005	4.1223724E+002	-3.1053949E+002
3.0713703E+005	5.6630823E+002	-2.4221303E+002
2.0778281E+005	6.1584894E+002	-1.7848029E+002
1.4056933E+005	6.3766870E+002	-1.2877765E+002
9.5095383E+004	6.4868939E+002	-9.5195526E+001
6.4337141E+004	6.5857330E+002	-7.2805756E+001
4.3525457E+004	6.6637115E+002	-5.8715553E+001
2.9440693E+004	6.6823706E+002	-5.2972092E+001
1.9920945E+004	7.0066650E+002	-6.8601074E+001
1.3472386E+004	6.7489465E+002	-6.0107071E+001
9.1205166E+003	6.8143744E+002	-7.7103859E+001
6.3004048E+003	6.8699603E+002	-1.0021371E+002
4.1713340E+003	6.9891730E+002	-1.3584645E+002
2.8222874E+003	7.1412115E+002	-1.7784827E+002
1.9093901E+003	7.3054089E+002	-2.4790439E+002
1.2920648E+003	7.5615985E+002	-3.4731226E+002
8.7416174E+002	7.7837634E+002	-4.6664926E+002
5.9132428E+002	8.3296631E+002	-6.7047101E+002
4.0012820E+002	8.9712140E+002	-9.3934631E+002
