freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
7.0000185E+006	2.8449657E+001	-8.6051689E+001
4.7356185E+006	2.5142918E+001	-9.5847252E+001
3.2037188E+006	3.9667950E+001	-1.2099509E+002
2.1673750E+006	6.7674614E+001	-1.5626132E+002
1.4662634E+006	1.1845078E+002	-1.9443462E+002
9.9195556E+005	1.9089807E+002	-2.2090646E+002
6.7106775E+005	2.6969443E+002	-2.1518259E+002
4.5398791E+005	3.5075546E+002	-1.8927928E+002
3.0713703E+005	3.9088181E+002	-1.4875365E+002
2.0778281E+005	4.1939447E+002	-1.1468645E+002
1.4056933E+005	4.3344608E+002	-8.8002769E+001
9.5095383E+004	4.3543674E+002	-7.4619980E+001
6.4337141E+004	4.4723135E+002	-6.0436268E+001
4.3525457E+004	4.4977591E+002	-6.0047451E+001
2.9440693E+004	4.5255188E+002	-6.8456146E+001
1.9920945E+004	4.6162723E+002	-8.0683846E+001
1.3472386E+004	4.6569867E+002	-1.0739759E+002
9.1205166E+003	4.7124484E+002	-1.5060120E+002
6.3004048E+003	4.8227475E+002	-2.0887219E+002
4.1713340E+003	5.0046906E+002	-2.9721814E+002
2.8222874E+003	5.2909460E+002	-4.1651590E+002
1.9093901E+003	5.6620599E+002	-5.8632281E+002
1.2920648E+003	6.0465973E+002	-8.1952466E+002
8.7416174E+002	6.7860547E+002	-1.1530675E+003
5.9132428E+002	7.7512848E+002	-1.6408558E+003
4.0012820E+002	9.3013452E+002	-2.3246406E+003
