freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
7.0000185E+006	2.3693645E+001	-9.3859680E+001
4.7356185E+006	2.1627298E+001	-1.0351328E+002
3.2037188E+006	3.3630917E+001	-1.3144975E+002
2.1673750E+006	5.6207024E+001	-1.7748755E+002
1.4662634E+006	9.8066376E+001	-2.3710054E+002
9.9195556E+005	1.8002551E+002	-2.9920590E+002
6.7106775E+005	2.9066754E+002	-3.4665463E+002
4.5398791E+005	4.0391916E+002	-3.4860712E+002
3.0713703E+005	6.0215540E+002	-2.8630054E+002
2.0778281E+005	6.6537231E+002	-2.1259961E+002
1.4056933E+005	7.0178546E+002	-1.5768289E+002
9.5095383E+004	7.1933881E+002	-1.0950819E+002
6.4337141E+004	7.3153400E+002	-8.9814980E+001
4.3525457E+004	7.3592615E+002	-6.9172920E+001
2.9440693E+004	7.4038947E+002	-5.9611122E+001
1.9920945E+004	7.5654553E+002	-6.3175137E+001
1.3472386E+004	7.4810101E+002	-6.7310989E+001
9.1205166E+003	7.5370947E+002	-8.0490318E+001
6.3004048E+003	7.4457135E+002	-1.1240285E+002
4.1713340E+003	7.6585565E+002	-1.4890120E+002
2.8222874E+003	7.8170764E+002	-1.9530554E+002
1.9093901E+003	7.9580280E+002	-2.7334991E+002
1.2920648E+003	8.1785016E+002	-3.8009732E+002
8.7416174E+002	8.5929370E+002	-5.5515210E+002
5.9132428E+002	8.9867419E+002	-7.5613055E+002
4.0012820E+002	9.6059814E+002	-1.0652290E+003
